channel_url,title,author,rss_url,confidence_score,api_title,api_author
https://castbox.fm/channel/My-Dad-Wrote-A-Porno-id34179,My Dad Wrote A Porno,My Dad Wrote A Porno,https://feeds.acast.com/public/shows/ee6fd316-9ce1-4f8a-ba2c-a4a4bf5643e4,1.0,My Dad Wrote A Porno,My Dad Wrote A Porno
https://castbox.fm/channel/Making-Sense-with-Sam-Harris-id479313,Making Sense with Sam Harris,Waking Up with Sam Harris,https://wakingup.libsyn.com/rss,0.8928571428571428,Making Sense with Sam Harris,Sam Harris
https://castbox.fm/channel/Redefiners-id6212750,Redefiners,Russell Reynolds Associates,https://feeds.cohostpodcasting.com/AlxiT3J7,1.0,Redefiners,Russell Reynolds Associates
https://castbox.fm/channel/Morbid-id4956820,Morbid,Morbid Network | Wondery,,,,
https://castbox.fm/channel/Stuff-You-Missed-in-History-Class-id4815156,Stuff You Missed in History Class,iHeartPodcasts,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/cfb428ef-eafc-44d0-9d09-ae2701747e6f/fb626e1f-112c-4246-a40d-ae2701747e7d/podcast.rss,1.0,Stuff You Missed in History Class,iHeartPodcasts
https://castbox.fm/channel/The-Jordan-B.-Peterson-Podcast-id5023716,The Jordan B. Peterson Podcast,Dr. Jordan B. Peterson,https://feeds.megaphone.fm/BVDWV6444647327,1.0,The Jordan B. Peterson Podcast,Dr. Jordan B. Peterson
https://castbox.fm/channel/Durma-com-essa-id6127653,Durma com essa,Nexo Jornal,https://feeds.megaphone.fm/NEXOJORNALLTDA4928237843,1.0,Durma com essa,Nexo Jornal
https://castbox.fm/channel/Criminal-id4733967,Criminal,Vox Media Podcast Network,https://feeds.megaphone.fm/VMP7924981569,1.0,Criminal,Vox Media Podcast Network
https://castbox.fm/channel/Last-Podcast-On-The-Left-id2427102,Last Podcast On The Left,The Last Podcast Network,https://feeds.simplecast.com/dCXMIpJz,1.0,Last Podcast On The Left,The Last Podcast Network
https://castbox.fm/channel/Oprah's-Super-Soul-id4616319,Oprah's Super Soul,Oprah,https://feeds.simplecast.com/N0SFSFAS,1.0,Oprah's Super Soul,Oprah
https://castbox.fm/channel/SmartLess-id3079504,SmartLess,"Jason Bateman, Sean Hayes, Will Arnett",https://feeds.simplecast.com/hNaFxXpO,1.0,SmartLess,"Jason Bateman, Sean Hayes, Will Arnett"
https://castbox.fm/channel/Play-On-Podcasts-id4944869,Play On Podcasts,Next Chapter Podcasts,https://feeds.megaphone.fm/playon,1.0,Play On Podcasts,Next Chapter Podcasts
https://castbox.fm/channel/Take-on-Tomorrow-id5594181,Take on Tomorrow,PwC,https://feeds.cohostpodcasting.com/Bo7HG86w,1.0,Take on Tomorrow,PwC
https://castbox.fm/channel/Sword-and-Scale-id5497191,Sword and Scale,Sword and Scale,https://www.spreaker.com/show/5895676/episodes/feed,1.0,Sword and Scale,Sword and Scale
https://castbox.fm/channel/Invisibilia-id2698780,Invisibilia,NPR,https://feeds.npr.org/510307/podcast.xml,1.0,Invisibilia,NPR
https://castbox.fm/channel/Fresh-Air-id2698788,Fresh Air,NPR,https://feeds.npr.org/381444908/podcast.xml,1.0,Fresh Air,NPR
https://castbox.fm/channel/TED-Tech-id4549,TED Tech,TED Tech,https://feeds.feedburner.com/iTunesPodcastTTTechnology,1.0,TED Tech,TED Tech
https://castbox.fm/channel/The-NPR-Politics-Podcast-id2698771,The NPR Politics Podcast,NPR,https://feeds.npr.org/510310/podcast.xml,1.0,The NPR Politics Podcast,NPR
https://castbox.fm/channel/Dirty-John-id5272200,Crimes of the Times,L.A. Times Studios,https://feeds.simplecast.com/C0h5kjnu,1.0,Crimes of the Times,L.A. Times Studios
https://castbox.fm/channel/Welcome-to-Night-Vale-id6233088,Welcome to Night Vale,Night Vale Presents,https://feeds.megaphone.fm/SBP4591212513,1.0,Welcome to Night Vale,Night Vale Presents
https://castbox.fm/channel/Science-Vs-id2082678,Science Vs,Spotify Studios,https://feeds.megaphone.fm/sciencevs,1.0,Science Vs,Spotify Studios
https://castbox.fm/channel/Good-Life-Project-id4743118,Good Life Project,Jonathan Fields / Acast,https://feeds.acast.com/public/shows/61de0665cc27c20014ea15cf,1.0,Good Life Project,Jonathan Fields / Acast
https://castbox.fm/channel/Spiritually-Hungry-id5244646,Spiritually Hungry,Monica Berg and Michael Berg,https://feeds.cohostpodcasting.com/NH2ItZ6R,1.0,Spiritually Hungry,Monica Berg and Michael Berg
https://castbox.fm/channel/Stuff-To-Blow-Your-Mind-id4855465,Stuff To Blow Your Mind,iHeartPodcasts,https://omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/6EA152C0-9E3A-45DE-8672-AE2F0056B113/D8936746-9E22-4DBA-B762-AE2F0056B126/podcast.rss,1.0,Stuff To Blow Your Mind,iHeartPodcasts
https://castbox.fm/channel/The-School-of-Greatness-id2542104,The School of Greatness,Lewis Howes,https://feeds.simplecast.com/AAvup9Zz,1.0,The School of Greatness,Lewis Howes
https://castbox.fm/channel/Myths-and-Legends-id477875,Myths and Legends,"Jason Weiser, Carissa Weiser, Nextpod",https://audioboom.com/channels/5094626.rss,1.0,Myths and Legends,"Jason Weiser, Carissa Weiser, Nextpod"
https://castbox.fm/channel/The-Dr.-Phil-Podcast-id6333607,The Dr. Phil Podcast,Dr. Phil McGraw,https://rss.libsyn.com/shows/552472/destinations/4769707.xml,1.0,The Dr. Phil Podcast,Dr. Phil McGraw
